GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
8600000US10001,10001,ZCTA5 10001,11169,461,81445,8743,68.0,3.2,93623,10729,7.3,1.9,22232,16845,0.8,0.7,36528,97730,17.4,2.1,76813,26230,0.0,0.3,-,**,2.6,1.5,71648,76901,3.9,1.6,44911,34135,13.1,2.2,37778,19758,59.9,3.0,106053,11132,7.0,1.2,47000,19150,46.6,3.6,114375,16292,30.1,3.3,68032,20687,16.3,2.1,33669,9770,3348,357,90456,12963,35.2,6.4,92823,67108,64.8,6.4,90404,12152,68.7,8.0,135518,40466,18.0,5.4,35192,26210,13.2,6.9,90957,7426,7821,413,75091,13369,44.8,3.6,51151,8945,35.4,3.6,45445,13716,9.5,2.3,110386,28854,55.2,3.6,87721,20735,41.8,4.0,72993,14904,13.4,2.7,173447,16420,21.6,(X),(X),(X),27.4,(X),(X),(X),19.1,(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,32550,663,32966,2301,37.1,1.6,59736,4593,6.6,1.0,31105,6308,0.4,0.3,30069,23899,40.2,1.7,23136,1564,0.0,0.1,-,**,13.1,1.5,24779,6225,2.5,0.7,38250,20425,24.8,1.6,24249,4291,27.0,1.4,78220,10745,2.0,0.5,38824,12502,34.4,1.9,62449,7035,36.9,1.9,33037,3306,26.6,1.3,16905,1294,17454,664,35062,3345,34.5,2.8,35082,5187,65.5,2.8,35036,4612,57.6,2.8,39592,5458,33.3,3.0,29224,2838,9.1,2.0,39324,11582,15096,800,25420,4048,50.6,3.1,18855,2722,44.1,2.9,15885,1667,6.5,1.5,120156,25436,49.4,3.1,42638,9486,41.2,2.8,28214,10470,8.3,1.7,132195,28470,32.4,(X),(X),(X),35.7,(X),(X),(X),27.0,(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,27564,663,97524,4474,82.6,1.7,100412,4510,3.1,1.0,44268,25530,0.0,0.1,-,**,10.4,1.1,97518,14697,0.0,0.1,-,**,1.1,0.5,41394,75422,2.7,0.9,97708,60176,6.7,1.1,60394,28542,78.0,1.9,101759,4679,5.4,1.0,40259,20236,49.8,2.2,117324,10966,28.0,1.8,100958,12539,16.8,1.3,54241,6607,7396,638,145411,16885,32.0,3.8,191156,38609,68.0,3.8,134719,17966,82.7,3.4,170179,17667,10.4,2.5,82917,34324,6.8,2.7,47031,94011,20168,817,85774,4289,50.5,2.9,81659,8997,39.5,2.7,61651,9283,11.0,1.9,135969,18608,49.5,2.9,92970,8794,37.2,2.9,72462,10947,12.3,2.2,182279,24246,22.0,(X),(X),(X),26.5,(X),(X),(X),20.2,(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,1580,208,123409,15383,80.3,8.6,123750,15344,1.3,2.2,-,**,0.0,1.9,-,**,17.0,8.4,95069,103529,0.0,1.9,-,**,0.0,1.9,-,**,1.4,1.2,153409,102969,5.1,3.4,81250,113954,75.9,9.0,130258,19543,8.1,3.8,44688,55421,56.0,9.8,130801,28955,25.8,8.2,122321,30667,10.1,4.0,142969,152782,531,137,242625,53217,39.9,14.0,173200,80496,60.1,14.0,"250,000+",***,81.4,14.2,"250,000+",***,8.1,6.5,114375,107885,10.5,15.1,-,**,1049,202,96761,25855,52.8,11.2,90833,20270,41.5,11.2,85929,20981,11.3,6.1,242697,69147,47.2,11.2,114688,37032,37.7,11.8,95313,38259,9.5,6.1,183707,42326,16.1,(X),(X),(X),14.7,(X),(X),(X),16.9,(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,4100,341,121840,12917,68.4,6.4,133000,47183,5.0,3.1,106343,57499,0.0,0.7,-,**,21.9,5.9,101818,33155,0.0,0.7,-,**,3.5,3.3,139519,350128,1.3,1.7,"250,000+",***,5.8,2.9,104219,79667,64.3,6.8,145625,54486,10.0,3.6,70398,41254,76.9,5.5,125822,17852,11.4,3.6,163795,43145,1.7,1.4,-,**,1056,221,196776,34153,41.2,14.2,"250,000+",***,58.8,14.2,171815,51936,91.6,5.9,210598,48536,4.5,4.6,142552,126486,4.0,4.1,197065,29136,3044,366,104123,15782,53.6,6.8,83306,20610,37.7,6.2,80225,16322,15.9,5.1,117813,16099,46.4,6.8,121616,21393,31.0,7.5,102216,24266,15.4,5.9,191944,69861,18.2,(X),(X),(X),17.1,(X),(X),(X),18.3,(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,1686,185,121316,22057,73.6,7.9,123045,23432,4.0,5.4,-,**,0.0,1.8,-,**,19.0,7.6,122788,19577,0.0,1.8,-,**,1.5,2.5,-,**,1.8,2.1,-,**,5.5,4.1,88221,115716,69.6,8.0,123397,23602,9.5,5.7,41250,32797,76.7,7.5,123375,14202,13.8,5.8,141033,124539,0.0,1.8,-,**,456,139,177300,84250,50.4,17.5,128707,87788,49.6,17.5,215972,25986,78.9,14.6,207045,64167,10.5,10.4,127931,9337,10.5,11.2,-,**,1230,211,100759,16396,57.1,11.9,87981,30256,45.6,10.7,78060,32299,11.5,6.9,137697,113205,42.9,11.9,124773,61227,26.3,11.4,118313,31221,16.6,7.2,"250,000+",***,22.2,(X),(X),(X),15.1,(X),(X),(X),22.8,(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,2646,186,"250,000+",***,77.9,5.3,"250,000+",***,2.5,3.0,-,**,0.0,1.1,-,**,18.9,4.6,"250,000+",***,0.0,1.1,-,**,0.0,1.1,-,**,0.7,0.8,-,**,2.6,1.9,143250,194109,75.3,5.6,"250,000+",***,0.4,0.6,-,**,61.1,4.5,"250,000+",***,34.0,4.5,"250,000+",***,4.5,2.4,91339,84961,1361,201,"250,000+",***,58.6,9.0,"250,000+",***,41.4,9.0,"250,000+",***,91.5,4.6,"250,000+",***,8.5,4.6,70882,90399,0.0,2.2,-,**,1285,180,155190,19278,50.7,10.2,116719,60956,37.0,9.0,104271,86436,13.8,8.2,117266,61661,49.3,10.2,209432,69153,31.5,9.2,179750,71328,17.7,8.0,"250,000+",***,15.0,(X),(X),(X),12.6,(X),(X),(X),17.6,(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,29860,466,61154,4126,66.4,1.9,79912,4147,6.4,0.9,26327,8743,0.1,0.1,8625,26049,13.2,1.4,48250,9518,0.0,0.1,-,**,10.9,1.4,25576,8534,2.9,0.9,41462,11261,20.9,1.3,27725,3067,57.7,1.8,86740,7051,6.0,1.1,61250,27825,39.2,1.9,91113,9975,36.4,1.7,48656,4150,18.4,1.5,26766,4500,11321,568,62253,7088,34.3,3.7,61415,7456,65.7,3.7,63523,15307,56.6,4.4,105883,12417,34.7,4.3,31932,5872,8.7,2.3,52523,23796,18539,637,58576,8186,56.5,2.9,54351,9407,43.8,2.9,42887,7708,12.7,1.9,92284,15812,43.5,2.9,65038,10415,33.8,2.6,49152,9051,9.7,2.0,121326,15429,24.8,(X),(X),(X),26.1,(X),(X),(X),24.1,(X),(X),(X)
8600000US10010,10010,ZCTA5 10010,16019,709,100763,6614,74.9,3.4,102781,8389,5.2,1.8,35640,45635,0.3,0.3,-,**,15.7,2.6,112141,31745,0.0,0.2,-,**,2.5,1.2,34917,78269,1.4,0.9,99738,13904,9.2,2.7,43889,30314,68.8,3.7,104859,10177,6.3,1.8,56619,26696,48.7,3.4,132374,20696,26.4,3.2,100907,11660,18.6,2.2,51595,14408,4582,469,162550,22942,31.2,4.8,164871,38399,68.8,4.8,153281,25282,78.0,5.0,205329,28916,17.5,4.7,55486,19746,4.5,2.9,57381,235754,11437,764,82461,12041,60.0,4.9,75303,7553,50.8,4.6,64754,8456,9.2,2.7,144150,8673,40.0,4.9,103370,12768,28.6,4.5,75000,32635,11.5,2.7,162875,59718,21.6,(X),(X),(X),25.2,(X),(X),(X),20.1,(X),(X),(X)
