GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
8600000US10001,10001,ZCTA5 10001,81445,8743
8600000US10002,10002,ZCTA5 10002,32966,2301
8600000US10003,10003,ZCTA5 10003,97524,4474
8600000US10004,10004,ZCTA5 10004,123409,15383
8600000US10005,10005,ZCTA5 10005,121840,12917
8600000US10006,10006,ZCTA5 10006,121316,22057
8600000US10007,10007,ZCTA5 10007,"250,000+",***
8600000US10009,10009,ZCTA5 10009,61154,4126
8600000US10010,10010,ZCTA5 10010,100763,6614
8600000US10011,10011,ZCTA5 10011,104974,4110
8600000US10012,10012,ZCTA5 10012,95577,8580
8600000US10013,10013,ZCTA5 10013,97228,23757
8600000US10014,10014,ZCTA5 10014,109557,11138
8600000US10016,10016,ZCTA5 10016,103960,5205
8600000US10017,10017,ZCTA5 10017,102165,10499
8600000US10018,10018,ZCTA5 10018,100298,11886
8600000US10019,10019,ZCTA5 10019,90174,8895
8600000US10020,10020,ZCTA5 10020,-,**
8600000US10021,10021,ZCTA5 10021,109398,11319
8600000US10022,10022,ZCTA5 10022,115604,9476
8600000US10023,10023,ZCTA5 10023,111265,6990
8600000US10024,10024,ZCTA5 10024,109784,5513
8600000US10025,10025,ZCTA5 10025,71865,4040
8600000US10026,10026,ZCTA5 10026,47318,5263
8600000US10027,10027,ZCTA5 10027,40013,2645
8600000US10028,10028,ZCTA5 10028,115485,5660
8600000US10029,10029,ZCTA5 10029,31446,1960
8600000US10030,10030,ZCTA5 10030,32561,3375
8600000US10031,10031,ZCTA5 10031,38338,3217
8600000US10032,10032,ZCTA5 10032,35979,2738
8600000US10033,10033,ZCTA5 10033,44595,3911
8600000US10034,10034,ZCTA5 10034,42522,3180
8600000US10035,10035,ZCTA5 10035,26764,2428
8600000US10036,10036,ZCTA5 10036,70625,5976
8600000US10037,10037,ZCTA5 10037,37000,4614
8600000US10038,10038,ZCTA5 10038,73988,8929
8600000US10039,10039,ZCTA5 10039,33132,2539
8600000US10040,10040,ZCTA5 10040,46944,3797
8600000US10044,10044,ZCTA5 10044,95259,15430
8600000US10065,10065,ZCTA5 10065,110163,8370
8600000US10069,10069,ZCTA5 10069,172926,26513
8600000US10075,10075,ZCTA5 10075,104583,12179
8600000US10103,10103,ZCTA5 10103,-,**
8600000US10110,10110,ZCTA5 10110,-,**
8600000US10111,10111,ZCTA5 10111,-,**
8600000US10112,10112,ZCTA5 10112,-,**
8600000US10115,10115,ZCTA5 10115,-,**
8600000US10119,10119,ZCTA5 10119,-,**
8600000US10128,10128,ZCTA5 10128,100649,6018
8600000US10152,10152,ZCTA5 10152,-,**
8600000US10153,10153,ZCTA5 10153,-,**
8600000US10154,10154,ZCTA5 10154,-,**
8600000US10162,10162,ZCTA5 10162,193238,53824
8600000US10165,10165,ZCTA5 10165,-,**
8600000US10167,10167,ZCTA5 10167,-,**
8600000US10168,10168,ZCTA5 10168,-,**
8600000US10169,10169,ZCTA5 10169,-,**
8600000US10170,10170,ZCTA5 10170,-,**
8600000US10171,10171,ZCTA5 10171,-,**
8600000US10172,10172,ZCTA5 10172,-,**
8600000US10173,10173,ZCTA5 10173,-,**
8600000US10174,10174,ZCTA5 10174,-,**
8600000US10177,10177,ZCTA5 10177,-,**
8600000US10199,10199,ZCTA5 10199,-,**
8600000US10271,10271,ZCTA5 10271,-,**
8600000US10278,10278,ZCTA5 10278,-,**
8600000US10279,10279,ZCTA5 10279,-,**
8600000US10280,10280,ZCTA5 10280,143636,24138
8600000US10282,10282,ZCTA5 10282,245556,41588
